Identifier,Country name,Series code,SCALE,Decimals,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
20,"Bahamas, The",AG.LND.EL5M.ZS,0,1,71.98609,..,..,..,..,..,..,..,..,..,71.98609,..,..,..,..,..,..,..,..,..,..,..
21,Bosnia and Herzegovina,AG.LND.EL5M.ZS,0,1,0.07322166,..,..,..,..,..,..,..,..,..,0.07322166,..,..,..,..,..,..,..,..,..,..,..
22,Belarus,AG.LND.EL5M.ZS,0,1,0,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..
23,Belize,AG.LND.EL5M.ZS,0,1,9.454244,..,..,..,..,..,..,..,..,..,9.454244,..,..,..,..,..,..,..,..,..,..,..
24,Bermuda,AG.LND.EL5M.ZS,0,1,82.26367,..,..,..,..,..,..,..,..,..,82.26367,..,..,..,..,..,..,..,..,..,..,..
25,Bolivia,AG.LND.EL5M.ZS,0,1,0,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..
26,Brazil,AG.LND.EL5M.ZS,0,1,1.212341,..,..,..,..,..,..,..,..,..,1.212341,..,..,..,..,..,..,..,..,..,..,..
27,Barbados,AG.LND.EL5M.ZS,0,1,15.69373,..,..,..,..,..,..,..,..,..,15.69373,..,..,..,..,..,..,..,..,..,..,..
28,Brunei Darussalam,AG.LND.EL5M.ZS,0,1,3.335603,..,..,..,..,..,..,..,..,..,3.335603,..,..,..,..,..,..,..,..,..,..,..
29,Bhutan,AG.LND.EL5M.ZS,0,1,0,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..
30,Botswana,AG.LND.EL5M.ZS,0,1,0,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..
31,Central African Republic,AG.LND.EL5M.ZS,0,1,0,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..
32,Canada,AG.LND.EL5M.ZS,0,1,2.393023,..,..,..,..,..,..,..,..,..,2.393023,..,..,..,..,..,..,..,..,..,..,..
33,Switzerland,AG.LND.EL5M.ZS,0,1,0,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..
34,Channel Islands,AG.LND.EL5M.ZS,0,1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
35,Chile,AG.LND.EL5M.ZS,0,1,3.080679,..,..,..,..,..,..,..,..,..,3.080679,..,..,..,..,..,..,..,..,..,..,..
36,China,AG.LND.EL5M.ZS,0,1,1.382015,..,..,..,..,..,..,..,..,..,1.382015,..,..,..,..,..,..,..,..,..,..,..
37,Cote d'Ivoire,AG.LND.EL5M.ZS,0,1,0.192768,..,..,..,..,..,..,..,..,..,0.192768,..,..,..,..,..,..,..,..,..,..,..
38,Cameroon,AG.LND.EL5M.ZS,0,1,0.08356156,..,..,..,..,..,..,..,..,..,0.08356156,..,..,..,..,..,..,..,..,..,..,..
39,"Congo, Rep.",AG.LND.EL5M.ZS,0,1,0.05497334,..,..,..,..,..,..,..,..,..,0.05497334,..,..,..,..,..,..,..,..,..,..,..
40,Cook Islands,AG.LND.EL5M.ZS,0,1,87.86789,..,..,..,..,..,..,..,..,..,87.86789,..,..,..,..,..,..,..,..,..,..,..
